galaxy,old_slope,new_slope,delta_slope
VCC0308,0.0415975018966025,-0.0722454755189709,-0.1138429774155734
VCC0667,-0.0059822976652469,-0.0662669466209892,-0.0602846489557423
VCC0688,-0.1243004132274434,-0.072118397556233,0.05218201567121039
VCC1049,0.1416163838874951,0.0593322640533798,-0.0822841198341153
VCC1146,0.0011187998307348,-0.0001539807985262,-0.001272780629261
VCC1193,0.1623959981277605,0.0490411039932618,-0.1133548941344987
VCC1368,-0.0334605150740129,0.0219859206475915,0.055446435721604403
VCC1410,0.0981711804621033,0.0074295944824176,-0.0907415859796857
VCC1431,-0.109030390745138,-0.1123283205338055,-0.0032979297886674974
VCC1486,0.0287494728389265,-0.0097742922226239,-0.0385237650615504
VCC1549,-0.0972307421976938,-0.025052512954847,0.07217822924284681
VCC1588,-0.0019222060862437,0.0155041017983705,0.0174263078846142
VCC1695,0.043186901303099,0.0124513144018889,-0.030735586901210095
VCC1811,0.1116923591559417,0.0092698754666362,-0.1024224836893055
VCC1890,-0.0181975774596532,-0.0205648586201374,-0.002367281160484201
VCC1902,-0.0378736791891514,0.0267255440113591,0.06459922320051051
VCC1910,-0.0685552793350751,-0.0533877448626245,0.015167534472450603
VCC1949,-0.0708544540152886,-0.0289844002384731,0.041870053776815505
