galaxy_name,success,n_pixels_total,n_pixels_quality,n_alpha_fe_calculated,quality_fraction,alpha_fe_fraction,alpha_fe_mean,alpha_fe_std,alpha_fe_min,alpha_fe_max,alpha_fe_median,alpha_fe_mean_uncertainty,velocity_v_mean,velocity_v_std,velocity_v_range,velocity_sigma_mean,velocity_sigma_std,velocity_v_over_sigma,velocity_n_velocity_pixels,gradient_slope,gradient_slope_error,gradient_intercept,gradient_r_value,gradient_p_value,gradient_n_points,gradient_significance,gradient_gradient_type
VCC1588,True,2001,900,373,0.4497751124437781,0.41444444444444445,0.22392497906680547,0.07300457264486583,-0.2,0.45031543294542864,0.231456153808172,0.14991749981718372,17.54514178954248,82.64724845294187,"[-298.5517995326445, 296.10594193530125]",61.54597580874553,69.39803137170414,0.9000162376072763,2001.0,0.0019448274772662507,0.0034209221008860914,0.2203374218876718,0.02950270608867642,0.5700328542898145,373.0,not_significant,flat
VCC0308,True,2001,670,372,0.33483258370814595,0.5552238805970149,0.2365285864342059,0.07425872210212343,-0.2,0.3989249834076265,0.2457981395466932,0.14999999999999997,-52.079758935567,83.79483089902027,"[-296.4924706591633, 287.71238805804757]",49.630129231582174,58.259584011925085,1.5366199051657896,2001.0,0.0026315904129101146,0.004197704915764798,0.23233879589932982,0.03257429264353362,0.5311037309514597,372.0,not_significant,flat
VCC0667,True,2001,507,380,0.25337331334332835,0.7495069033530573,0.2216331783784811,0.08973401925250252,-0.2,0.4448048975031847,0.2384028807511971,0.14999999999999997,-1.0008952254983357,78.01076541956081,"[-294.87679574956906, 299.50920357776545]",44.55292754244135,52.4423344941105,1.174421959534791,2001.0,-0.0024953948533545183,0.004669865473164517,0.22583905616453714,-0.027474198633238005,0.5934058056082847,380.0,not_significant,flat
VCC0688,True,2001,228,164,0.11394302848575712,0.7192982456140351,0.20793919898360275,0.1291760790584995,-0.2,0.4082992075667732,0.23958546750097687,0.15,-6.3505977747166895,77.05714469528078,"[-294.93539382014893, 297.50693982986473]",44.09709129853576,49.25744525154668,1.13842009387045,2001.0,-0.0036164479601485185,0.010129267231449626,0.2135478851448423,-0.02803986305565508,0.7215343110280314,164.0,not_significant,flat
VCC0990,True,2001,70,53,0.03498250874562719,0.7571428571428571,0.22775989168762412,0.15686216854820684,-0.2,0.4423650867706217,0.26930850773108383,0.15000000000000005,0.2555327470943483,84.81160706799167,"[-298.12024704603454, 298.3477664749616]",47.53505744391158,54.3457427578104,1.1343523785255905,2001.0,-0.005901965397308286,0.026283087845758786,0.23152685001314624,-0.03142827857495709,0.8232237165700225,53.0,not_significant,flat
VCC1049,True,2001,257,178,0.12843578210894552,0.6926070038910506,0.22148429927187224,0.07720033535709712,-0.2,0.399156577044526,0.2428761432577633,0.14999999999999997,5.351066104789774,89.87083080908002,"[-294.15950313813033, 298.02571092222576]",52.28836110038035,58.83064789791272,1.121132733846207,1978.0,0.008577361141218584,0.006511843630326763,0.2110917477625894,0.09880143527192087,0.18948591958139843,178.0,not_significant,flat
VCC1146,True,2001,578,361,0.2888555722138931,0.6245674740484429,0.23073889489636615,0.0836110933423175,-0.2,0.4519123059259632,0.24605476458309758,0.14993034128594618,14.517283331817822,93.90174109533619,"[-297.6295542924418, 296.324262059848]",87.20497377569718,73.90822538000793,0.7241900572401858,2001.0,0.00188278148871946,0.004285112831527407,0.22762715054595284,0.02318321665870097,0.6606524937736074,361.0,not_significant,flat
VCC1193,True,2001,196,149,0.09795102448775612,0.7602040816326531,0.20866179141715446,0.10772514780389768,-0.2,0.3981364123834701,0.2348465113592526,0.14987197772818683,0.09177525965858568,86.67930088981927,"[-299.21171156165735, 299.2817969174722]",47.18918028069747,53.24702552639482,1.191609355832354,2001.0,0.017396804810221298,0.012566910709559606,0.18570686542346893,0.11344091591639979,0.16835402946908953,149.0,not_significant,flat
VCC1368,True,2001,616,391,0.3078460769615192,0.6347402597402597,0.2341065465536204,0.10847838940400306,-0.2,0.42482943379356647,0.2510044962369487,0.14999999999999997,4.0759257921824155,75.76907439927075,"[-299.5240652266271, 290.81516565216555]",43.48555422898914,50.94000972618989,1.1454975883349272,2001.0,0.0032023473917223567,0.0063897289862508075,0.2297374555148592,0.025402182945248354,0.6165342017959835,391.0,not_significant,flat
VCC1410,True,2001,166,124,0.08295852073963018,0.7469879518072289,0.22416054181736483,0.07923389450972436,-0.2,0.4487863359533435,0.23863588199836633,0.14999999999999994,-0.0080687941251773,84.44087629276054,"[-295.41621568269346, 299.7006852246241]",48.02895007445884,56.164986447950184,1.1500245082086658,2001.0,0.0028651382596343237,0.006666618684442365,0.2198892247708302,0.038880473529067594,0.6681182922585641,124.0,not_significant,flat
