name,category,ra_deg,dec_deg,dist_deg,dist_mpc,v_kms,v_mean_kms,delta_v_kms,has_emission,slope_dex_per_Re,slope_error_dex_per_Re,gradient_method
VCC0308,galaxy,184.71179167,7.86291667,5.402981696767579,1.566864692062598,1572.0,1454.388888888889,117.61111111111109,True,-0.0722454755189709,0.0014934573594846,RDB
VCC0667,galaxy,185.951875,7.18641667,5.484217682963264,1.5904231280593464,1431.0,1454.388888888889,-23.388888888888914,True,-0.0662669466209892,0.0145806522815925,RDB
VCC0688,galaxy,186.00083333,7.78525,4.902256888575398,1.4216544976868652,1061.0,1454.388888888889,-393.3888888888889,True,-0.072118397556233,0.0253961158346273,RDB
VCC1049,galaxy,186.97720833,8.09055556,4.359939979342406,1.2643825940092976,1249.0,1454.388888888889,-205.3888888888889,True,0.0593322640533798,0.0641739162972839,RDB
VCC1146,galaxy,187.23920833,13.24186111,0.9648071470460043,0.2797940726433412,1404.0,1454.388888888889,-50.388888888888914,True,-0.1079914611259821,0.0109601630729694,RDB
VCC1193,galaxy,187.38029167,7.69722222,4.704835654501958,1.3644023398055676,1543.0,1454.388888888889,88.61111111111109,True,0.0490411039932618,0.1107472932122293,RDB
VCC1368,galaxy,187.88520834,11.626,0.78496171192747,0.2276388964589663,1322.0,1454.388888888889,-132.3888888888889,True,0.0219859206475915,0.0409974468381489,RDB
VCC1410,galaxy,188.01254167,16.68780556,4.3069251251212295,1.2490082862851564,1411.0,1454.388888888889,-43.388888888888914,True,0.0074295944824176,0.0486932290099147,RDB
VCC1431,galaxy,188.09841667,11.26347222,1.1912929717775855,0.3454749618154998,1379.0,1454.388888888889,-75.38888888888891,True,-0.1123283205338055,0.0441828430985143,RDB
VCC1486,galaxy,188.29304167,11.34744444,1.1913853526657112,0.34550175227305624,1588.0,1454.388888888889,133.6111111111111,True,-0.0097742922226239,0.0548785641631731,RDB
VCC1549,galaxy,188.56275,11.07166667,1.5635794427929592,0.45343803840995817,1359.0,1454.388888888889,-95.38888888888891,False,-0.025052512954847,0.0203156016854024,RDB
VCC1588,galaxy,188.711375,15.55197222,3.3080227419443884,0.9593265951638725,1947.0,1454.388888888889,492.6111111111111,True,-0.0121812858392797,0.0205618391256731,RDB
VCC1695,galaxy,189.23066667,12.52055556,1.4944834624772396,0.43340020411839947,1359.0,1454.388888888889,-95.38888888888891,True,0.0124513144018889,0.0422408227188486,RDB
VCC1811,galaxy,189.9665,15.29788889,3.6423846221791756,1.0562915404319608,1386.0,1454.388888888889,-68.38888888888891,True,0.0092698754666362,0.0010293647014615,RDB
VCC1890,galaxy,190.44312499,11.48869444,2.825956965342897,0.8195275199494401,1438.0,1454.388888888889,-16.388888888888914,True,-0.0205648586201374,0.0280924074736916,RDB
VCC1902,galaxy,190.49858333,12.94327778,2.780084559753566,0.8062245223285341,1452.0,1454.388888888889,-2.388888888888914,True,0.0267255440113591,0.0514787961370328,RDB
VCC1910,galaxy,190.53554167,11.75422222,2.8394011755251922,0.8234263409023057,1995.0,1454.388888888889,540.6111111111111,True,-0.0533877448626245,0.0587615569864766,RDB
VCC1949,galaxy,190.741125,12.28755556,2.9669068393341833,0.8604029834069131,1283.0,1454.388888888889,-171.3888888888889,True,-0.0289844002384731,0.0156920213532402,RDB
