galaxy_name,n_bins_used,gradient_slope,gradient_error,alpha_fe_center,r_zero_method
VCC0308,3,0.04456479374935464,0.08088977368471634,0.0747913228658737,Innermost bin set to R=0 (galaxy center)
VCC0667,3,0.4338542597326764,0.0832709100524138,-0.07730588898795449,Innermost bin set to R=0 (galaxy center)
VCC0688,3,-4.94683521183307e-17,0.0,0.5000000000000002,Innermost bin set to R=0 (galaxy center)
VCC0990,3,-1.9983060502310315e-16,3.99725974444318e-17,0.5,Innermost bin set to R=0 (galaxy center)
VCC1049,3,0.0,0.0,0.0,Innermost bin set to R=0 (galaxy center)
VCC1146,3,0.0,0.0,0.0,Innermost bin set to R=0 (galaxy center)
VCC1193,3,-0.47697121442583884,0.08187393455249342,0.5783994614673624,Innermost bin set to R=0 (galaxy center)
VCC1368,3,0.17478497717963515,0.03332605030661156,0.26909226570042016,Innermost bin set to R=0 (galaxy center)
VCC1410,3,0.0,0.0,0.2999999999999999,Innermost bin set to R=0 (galaxy center)
VCC1431,3,-1.5771901783887126e-16,3.99725974444318e-17,0.3,Innermost bin set to R=0 (galaxy center)
VCC1486,3,-0.327220345103566,0.030421558098427698,0.2722358640859197,Innermost bin set to R=0 (galaxy center)
VCC1549,3,0.2293276814291576,0.019923887214264566,0.31786325767770296,Innermost bin set to R=0 (galaxy center)
VCC1588,3,0.48538620726173426,0.08397325705311022,-0.07671100212763471,Innermost bin set to R=0 (galaxy center)
VCC1695,3,0.0,0.0,0.0,Innermost bin set to R=0 (galaxy center)
VCC1811,3,4.5471308425459876e-17,1.5108221727894648e-17,0.49999999999999983,Innermost bin set to R=0 (galaxy center)
VCC1890,3,0.0,0.0,0.0,Innermost bin set to R=0 (galaxy center)
VCC1902,3,0.04504260954986997,0.08089515093764989,0.07488522518526165,Innermost bin set to R=0 (galaxy center)
VCC1910,3,0.0,0.0,0.0,Innermost bin set to R=0 (galaxy center)
VCC1949,3,0.0,0.0,0.0,Innermost bin set to R=0 (galaxy center)
