galaxy,gradient_slope,gradient_error,significance,n_bins,correlation,p_value,effective_radius,alpha_fe_center,alpha_fe_outer
VCC0308,-0.015751360474613924,0.0276284124235358,0.5701145702167028,3,-0.49527816563480764,0.6701322826072178,10.425168211561857,0.24817319013097494,0.23663418650735
VCC0667,-0.0033249737623673886,0.006764216637372451,0.49155341122530477,3,-0.4411390795989707,0.7091490944249728,9.890911542192327,0.24445050210998537,0.24202312252567879
VCC0688,0.15145469007272339,0.09162452850733778,1.652992845257524,3,0.8556137120387153,0.34635998538091267,11.099615445365279,0.15519306808179312,0.26681942549004717
VCC0990,0.03667184902946199,0.3494970099501528,0.10492750434314825,3,0.1043546161264817,0.9334446164652999,6.52811818799183,0.2543759784747292,0.26806974198678746
VCC1049,0.03506459147692184,0.009922865923627388,3.5337161407602373,3,0.9622137755739912,0.17556541730744965,10.529332238392046,0.24709204454657077,0.2742148023951125
VCC1146,0.05070626439170159,0.02152754604070961,2.3554131202791826,3,0.9204786448220938,0.2555982540072682,10.558304933006276,0.21592264830561037,0.25623103136023423
VCC1193,-0.5118259046163867,0.43337400470786164,1.181025855395756,3,-0.7631726172389653,0.4472811911344694,8.444832161374867,0.24466702761173223,-0.13108361691674564
VCC1368,-0.016650977659967182,0.004858372234547122,3.4272749917276193,3,-0.9599715257352538,0.18073367020669637,9.415770686885063,0.2707499259519123,0.25795685312702654
VCC1410,0.01848102356306941,0.01237538464066903,1.493369628474861,3,0.8309134290596725,0.3756368455951755,9.73465065102821,0.25013275563761694,0.26385308831219156
VCC1431,-0.025067354619350717,0.0287916355803599,0.8706471207370489,3,-0.656643229604341,0.5439514880519092,8.581781704313018,0.24871454066879572,0.23280922267101717
VCC1486,-0.006364212811779705,0.048495371975221586,0.13123340542745937,3,-0.1301177312824815,0.9169289376965287,7.925795402127657,0.2647202249614412,0.2595087511163372
VCC1499,,,0.0,0,,,,,
VCC1549,-0.49653900352639635,0.23478035279162202,2.114908669411093,3,-0.904035102810687,0.281181782693771,12.415960251286728,0.2572033576120306,-0.07703163700388821
VCC1588,0.00780472349230481,0.007765003314974421,1.005115281438939,3,0.7089083856737527,0.49837591271144993,12.45315388000273,0.23991809110177575,0.2453174688724942
VCC1695,0.003626892525079144,0.005656783825736185,0.641158056735027,3,0.5397451188084675,0.6370412259371094,10.20096596414223,0.24735838024862344,0.2502203435300559
VCC1811,0.04203508214314131,0.07199728058603987,0.5838426368466455,3,0.5041991510612273,0.6635755039301501,10.265775380059305,0.22962196657321152,0.26055743700902123
VCC1890,0.005796892353772462,0.026590345697685737,0.2180074083909706,3,0.21300440830244563,0.8633502599163475,10.53395338076511,0.2636748754722382,0.26770450332549645
VCC1902,-0.0794848141259656,0.04424432340052124,1.7964974490948864,3,-0.8737552030265295,0.32335561206121044,9.945351976035044,0.25518311914894537,0.19610512211839043
VCC1910,0.02944176428699347,0.0017330079094056206,16.988822801790487,3,0.9982721076808047,0.03742967120909841,9.212165941536886,0.2143031038542322,0.23574965542022813
VCC1949,0.020898307853129093,0.0018613246074127418,11.227653559138151,3,0.9960570842910164,0.05655183081591531,10.255716964410068,0.25433547990421335,0.2707942381543474
